
PRODTOUR_ID,TD_OverALL,Hotel,Meal,NPS
257177,3.896551,4.336206,4.568965,0.793103448
253499,4,4.423913,4.507246,0.869565217
257122,4,4.47619,4.404761,0.571428571
269941,3.916666,4.366666,4.388888,0.923076923
254000,4,4.344,4.68,0.88
261926,4,4.109375,4.5,1
284226,4,4.416666,4.875,-0.083333333
253528,3.9,3.957692,4.293333,0.829268293
253661,3.977272,4.228136,4.114942,1
256861,4,4.25,4.5,0.875
252152,4,4.166666,4.676923,0.916666667
256979,4,4.617391,4.565217,0.826086957
253948,3.793103,4.270114,4.706896,0.655172414
252155,3.916666,4.183333,4.6,0.72
278862,4,4.58,4.75,0.952380952
253479,4,4.666666,4.666666,0.916666667
260610,1.538461,3.423076,3.730769,-0.642857143
253959,4,4.125925,4.537037,0.75
257105,3.90909,4.2,4.212121,0.75
278875,3.973684,4.189473,4.53211,0.923076923
253922,3.964285,4.526785,4.75,1
256856,4,4.260416,4.277777,0.96
260629,3.64,4.346666,4.406593,0.6
256695,3.923076,4.206349,4.44,0.384615385
253937,4,4.3,4.746666,0.947368421
257176,3.971428,4.214285,4.428571,0.916666667
256965,4,4.071428,4.78125,0.8125
259798,4,4.48,4.55,0.9
253985,4,4.403225,4.790322,0.903225806
257061,3.933333,4.12,4.613636,0.866666667
278814,3.9375,3.786026,4.166666,0.5
261472,4,4.113043,4.705357,0.869565217
268900,4,3.857142,4.428571,0.714285714
256849,3.9,4.355555,4.074074,0.6
256913,4,4.304347,4.652173,0.956521739
256974,4,4.3625,4.291666,0.764705882
261921,4,4.553846,4.705128,0.961538462
289032,3.666666,4.458333,4.111111,0.576923077
262029,4,4.009009,4.711711,0.945945946
253757,3.833333,3.666666,4.583333,0.833333333
252133,3.857142,4.257142,4.238095,0.714285714
278847,4,4.7,4.766666,1
282485,4,4.716666,4.194444,1
253952,3.9,3.983333,3.981481,0.75
252150,3.9,4.229166,4.70909,0.9
256808,4,3.923809,4.571428,0.714285714
261982,4,4.342105,4.302631,0.769230769
256847,4,4.4625,4.875,1
261959,3.88,3.905405,4.530612,0.88
253725,4,4.247058,4.470588,1
256942,4,4.586666,4.533333,1
253642,4,4.425,4.625,1
260594,2.785714,4.128571,3.666666,0.5
252120,3.823529,3.823529,3.509803,0.470588235
253452,3.857142,3.714285,3.714285,1
256871,4,3.944444,4.833333,0.666666667
256785,3.875,4.458333,4.3125,0.9375
256959,4,3.642857,3.761904,0.142857143
253594,3.928571,4.24852,4.733333,0.928571429
253535,3.923076,4.192307,4.76344,1
269534,3.954545,4.304761,4.340136,0.695652174
277942,3.611111,4.1,2.555555,0.888888889
278848,4,4.214285,4.428571,0.857142857
256859,3.947368,3.929824,4.605263,0.789473684
252114,4,3.583333,4.305555,0.833333333
252138,3.5,4.35,4.5,0.75
253552,3.95238,3.516129,4.268292,0.476190476
253765,3.705882,4.411764,4.568627,0.888888889
257044,4,4.019047,4.349206,0.818181818
253902,4,4.045454,4.375,0.909090909
253706,3.75,3.7,4.125,1
253927,3.04,3.673333,4.411111,0.038461538
256852,4,4.523809,4.857142,1
283484,4,3.75,4.028571,0.571428571
253605,4,4.278571,4.696428,0.892857143
257189,4,4.75,4.3125,1
269940,3.545454,3.963636,3.575757,0.272727273
253516,4,4.46875,4.6875,1
257190,4,4.452702,3.986486,0.837837838
262020,2.8,4.25,3.733333,0.19047619
253996,3.882352,4.411764,4.470588,0.833333333
259815,3.111111,4.481481,4.222222,0.4
256928,3.954545,4.160377,4.071428,0.681818182
253631,4,3.907407,4.75,0.944444444
256709,4,4.477611,4.787878,1
278865,3.888888,4.011111,3.851851,0.736842105
261936,3.958333,4.025,4.194444,0.791666667
253471,3.95,4.16,3.95,0.5
260636,4,4.791666,4.96875,1
253651,4,3.857142,4.459459,1
253542,4,4.223333,4.434782,0.909090909
257000,4,4.916666,4.305555,0.75
253771,4,4.294871,4.569892,0.923076923
253618,3.833333,3.833333,4.404761,0.083333333
253866,3.897435,4.062962,4.233766,0.75
261443,4,4.8,4.716666,0.6
256888,3.846153,3.692307,4.705882,0.714285714
261922,4,4.5625,4.8125,0.875
257100,3.75,4.805555,4.55,0.583333333
